# ,,,,,
# 08/30/2026 16:56:41,,,,,
# The parameters defined in the project are:,,,,,
# ,P1 - length [m],P2 - width [m],P3 - thickness [m],P4 - height [m],P5 - Equivalent Stress Maximum [Pa]
# ,,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,,
Name,P1,P2,P3,P4,P5
DP 61,0.042468,0.041361,0.004603,0.028841,112048740.553369
DP 62,0.049358,0.02304,0.003812,0.025576,127418824.341225
DP 63,0.05625,0.024972,0.00204,0.03114,388108876.794747
DP 64,0.040218,0.042126,0.002233,0.023976,416627028.32421
DP 65,0.025673,0.044568,0.002658,0.039922,374243360.117101
DP 66,0.028742,0.020653,0.003311,0.046357,209745878.690064
DP 67,0.023232,0.04755,0.004511,0.028054,163879945.926811
DP 68,0.045154,0.040694,0.003978,0.034648,151212716.510337
DP 69,0.020379,0.040823,0.00207,0.047782,682956695.233238
DP 70,0.050673,0.025549,0.003024,0.026945,198688637.480124
DP 71,0.050383,0.030446,0.004783,0.039425,95300144.9728905
DP 72,0.048172,0.029775,0.002569,0.034288,289854387.250971
DP 73,0.04419,0.022669,0.004195,0.025384,118775042.789169
DP 74,0.03323,0.04127,0.002395,0.029629,398823355.815197
DP 75,0.022008,0.020059,0.003477,0.028207,265525246.029667
DP 76,0.036888,0.02206,0.002614,0.021046,286011232.232314
DP 77,0.030457,0.038161,0.003188,0.042908,240755738.294468
DP 78,0.029493,0.041858,0.002916,0.032775,285531302.395076
DP 79,0.031507,0.02109,0.004419,0.023802,147566102.891575
DP 80,0.043448,0.023694,0.004991,0.024215,91171515.9084827
DP 81,0.056833,0.021356,0.0022,0.036339,357021849.864362
DP 82,0.028061,0.030904,0.002966,0.02014,267922439.524891
DP 83,0.030947,0.038514,0.004078,0.045139,157482873.85252
DP 84,0.058522,0.026642,0.002356,0.025816,294293638.663575
DP 85,0.026362,0.037782,0.002957,0.023319,291705703.660312
DP 86,0.033145,0.049412,0.003896,0.043822,201908937.809588
DP 87,0.055287,0.034461,0.004702,0.049624,97280257.4350401
DP 88,0.027364,0.043971,0.002882,0.041549,335631601.381312
DP 89,0.038974,0.034828,0.004566,0.022543,116515020.812386
DP 90,0.031694,0.03866,0.003395,0.02942,207761592.626138
DP 91,0.042028,0.035264,0.004366,0.031074,128091251.59113
DP 92,0.024937,0.037274,0.002277,0.034799,479734327.465078
DP 93,0.052267,0.03983,0.003057,0.042419,206564449.415979
DP 94,0.036254,0.026206,0.003735,0.036156,154143342.595785
DP 95,0.023626,0.042369,0.004809,0.037481,142500812.549698
DP 96,0.049779,0.027519,0.004737,0.033056,92589707.3153251
DP 97,0.046249,0.033204,0.004168,0.045815,129511449.60937
DP 98,0.059553,0.030545,0.002011,0.023263,416538445.980947
DP 99,0.026565,0.033894,0.00434,0.047464,136046450.713966
DP 100,0.04367,0.048411,0.004896,0.031567,111416157.621161
DP 101,0.023368,0.021701,0.003631,0.021193,187695746.471128
DP 102,0.024472,0.02293,0.003951,0.024098,147982485.829229
DP 103,0.023862,0.021474,0.003923,0.021591,174091689.519192
DP 104,0.021007,0.02229,0.00383,0.023324,172666448.585209
DP 105,0.024634,0.023361,0.003453,0.021433,197666954.976511
DP 106,0.025173,0.024195,0.004211,0.020699,128923071.561582
DP 107,0.021266,0.023556,0.004054,0.021115,150911466.7852
DP 108,0.020854,0.021196,0.004176,0.020232,174952953.959977
DP 109,0.022002,0.022617,0.003694,0.022882,177777077.326523
DP 110,0.025961,0.021918,0.003795,0.021874,161373418.093249
DP 111,0.024069,0.024313,0.003863,0.020155,160277939.467827
DP 112,0.02245,0.022069,0.004013,0.02061,160611385.026637
DP 113,0.021595,0.020869,0.003571,0.022248,218566634.983174
DP 114,0.024864,0.0203,0.004133,0.024324,251887810.268568
DP 115,0.020162,0.020547,0.003439,0.024024,234493421.537917
DP 116,0.022799,0.022819,0.004095,0.023653,147068239.646239
DP 117,0.02311,0.0201,0.00351,0.023082,236791024.337966
DP 118,0.025691,0.021027,0.00339,0.023508,209464090.303131
DP 119,0.022144,0.023997,0.003757,0.022412,172887295.665069
DP 120,0.020512,0.023676,0.0036,0.022524,195233091.889657
DP 121,0.02,0.02,0.003805,0.02,294068254.409283
DP 122,0.022952,0.021815,0.003764,0.020073,175505709.831273
DP 123,0.02125,0.020726,0.003816,0.020291,203389132.307969
DP 124,0.020279,0.021092,0.003691,0.021938,212043379.700929
DP 125,0.020754,0.020523,0.003592,0.021385,229586730.806715
DP 126,0.022703,0.022145,0.003861,0.020568,170476857.191033
DP 127,0.021997,0.022315,0.00395,0.020746,162709262.843605
DP 128,0.021671,0.020433,0.004023,0.021189,225126113.835732
DP 129,0.022511,0.020076,0.003625,0.022168,259452456.55675
DP 130,0.021496,0.021591,0.003734,0.021875,192233644.675076
DP 131,0.020598,0.021326,0.003938,0.021519,181385303.388332
