# ,,,,,
# 09/05/2026 09:48:24,,,,,
# The parameters defined in the project are:,,,,,
# ,P1 - length [m],P2 - width [m],P3 - thickness [m],P4 - height [m],P5 - Equivalent Stress Maximum [Pa]
# ,,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,,
Name,P1,P2,P3,P4,P5
DP 61,0.042468,0.041361,0.004603,0.028841,112048740.553369
DP 62,0.049358,0.02304,0.003812,0.025576,127418824.341225
DP 63,0.05625,0.024972,0.00204,0.03114,388108876.794747
DP 64,0.040218,0.042126,0.002233,0.023976,416627028.32421
DP 65,0.025673,0.044568,0.002658,0.039922,374243360.117101
DP 66,0.028742,0.020653,0.003311,0.046357,209745878.690064
DP 67,0.023232,0.04755,0.004511,0.028054,163879945.926811
DP 68,0.045154,0.040694,0.003978,0.034648,151212716.510337
DP 69,0.020379,0.040823,0.00207,0.047782,682956695.233238
DP 70,0.050673,0.025549,0.003024,0.026945,198688637.480124
DP 71,0.050383,0.030446,0.004783,0.039425,95300144.9728905
DP 72,0.048172,0.029775,0.002569,0.034288,289854387.250971
DP 73,0.04419,0.022669,0.004195,0.025384,118775042.789169
DP 74,0.03323,0.04127,0.002395,0.029629,398823355.815197
DP 75,0.022008,0.020059,0.003477,0.028207,265525246.029667
DP 76,0.036888,0.02206,0.002614,0.021046,286011232.232314
DP 77,0.030457,0.038161,0.003188,0.042908,240755738.294468
DP 78,0.029493,0.041858,0.002916,0.032775,285531302.395076
DP 79,0.031507,0.02109,0.004419,0.023802,147566102.891575
DP 80,0.043448,0.023694,0.004991,0.024215,91171515.9084827
DP 81,0.056833,0.021356,0.0022,0.036339,357021849.864362
DP 82,0.028061,0.030904,0.002966,0.02014,267922439.524891
DP 83,0.030947,0.038514,0.004078,0.045139,157482873.85252
DP 84,0.058522,0.026642,0.002356,0.025816,294293638.663575
DP 85,0.026362,0.037782,0.002957,0.023319,291705703.660312
DP 86,0.033145,0.049412,0.003896,0.043822,201908937.809588
DP 87,0.055287,0.034461,0.004702,0.049624,97280257.4350401
DP 88,0.027364,0.043971,0.002882,0.041549,335631601.381312
DP 89,0.038974,0.034828,0.004566,0.022543,116515020.812386
DP 90,0.031694,0.03866,0.003395,0.02942,207761592.626138
DP 91,0.042028,0.035264,0.004366,0.031074,128091251.59113
DP 92,0.024937,0.037274,0.002277,0.034799,479734327.465078
DP 93,0.052267,0.03983,0.003057,0.042419,206564449.415979
DP 94,0.036254,0.026206,0.003735,0.036156,154143342.595785
DP 95,0.023626,0.042369,0.004809,0.037481,142500812.549698
DP 96,0.049779,0.027519,0.004737,0.033056,92589707.3153251
DP 97,0.046249,0.033204,0.004168,0.045815,129511449.60937
DP 98,0.059553,0.030545,0.002011,0.023263,416538445.980947
DP 99,0.026565,0.033894,0.00434,0.047464,136046450.713966
DP 100,0.04367,0.048411,0.004896,0.031567,111416157.621161
DP 101,0.036516,0.03133,0.004667,0.02639,103885497.351395
DP 102,0.022524,0.022587,0.004288,0.040318,138971975.937513
DP 103,0.046661,0.037709,0.002519,0.038968,315682179.750077
DP 104,0.021258,0.041179,0.004036,0.034854,187097035.866244
DP 105,0.053584,0.035929,0.004621,0.045806,95049074.981676
DP 106,0.04677,0.039677,0.004767,0.03628,102627817.258967
DP 107,0.041757,0.042131,0.004654,0.045205,108705045.657224
DP 108,0.048683,0.046287,0.004748,0.025174,117993113.874834
DP 109,0.049226,0.036332,0.003984,0.049407,134269734.516708
DP 110,0.036362,0.029949,0.004606,0.047529,108955750.678519
DP 111,0.044716,0.038006,0.004489,0.048231,117896812.01387
DP 112,0.026536,0.0338,0.004459,0.028576,133141027.119359
DP 113,0.042865,0.02565,0.003129,0.021586,198591863.333366
DP 114,0.055826,0.047701,0.002909,0.036077,241605468.914717
DP 115,0.051197,0.02267,0.003161,0.04072,178556266.358436
DP 116,0.034452,0.02426,0.002697,0.026146,276243014.421173
DP 117,0.055327,0.042843,0.0042,0.04961,122409264.979377
DP 118,0.047033,0.039226,0.002663,0.023434,287849564.78717
DP 119,0.040329,0.04313,0.004931,0.020404,109524057.569674
DP 120,0.043757,0.039943,0.00261,0.043938,294965297.138227
DP 121,0.0299,0.045814,0.003842,0.035408,200725805.971732
DP 122,0.038298,0.036307,0.004093,0.040777,131784471.759876
DP 123,0.051947,0.048741,0.004175,0.042355,136992535.239449
DP 124,0.038646,0.042539,0.002502,0.049427,347795909.974958
DP 125,0.048167,0.020618,0.004428,0.024863,187828177.638682
DP 126,0.059682,0.024286,0.004137,0.023139,108494315.10874
DP 127,0.037389,0.033837,0.004519,0.032439,108765057.378241
DP 128,0.023444,0.024969,0.004637,0.036855,123915016.741002
DP 129,0.02725,0.039808,0.00277,0.042177,331760700.13469
DP 130,0.029252,0.042286,0.004585,0.049703,130727430.130894
DP 131,0.029582,0.028702,0.002646,0.027572,334223594.740781
DP 132,0.055768,0.034742,0.00287,0.049892,238517062.626049
DP 133,0.058156,0.046118,0.004402,0.043106,114737604.048097
DP 134,0.045031,0.048436,0.00297,0.044551,233512549.339098
DP 135,0.041381,0.045639,0.003544,0.025514,181001862.36161
DP 136,0.026828,0.040535,0.004647,0.046566,140373668.704569
DP 137,0.032714,0.026784,0.003703,0.028154,158765374.126733
DP 138,0.02752,0.021792,0.003661,0.02521,173913180.525228
DP 139,0.032499,0.042946,0.004132,0.040563,159550526.178982
DP 140,0.056401,0.032598,0.00457,0.031491,97223296.4193934
DP 141,0.0548,0.047279,0.003152,0.032206,221750635.495712
DP 142,0.052112,0.038367,0.003282,0.042007,182480287.66182
DP 143,0.028813,0.048588,0.004218,0.022362,163488531.41158
DP 144,0.038241,0.032485,0.00283,0.028447,256789592.631358
DP 145,0.056302,0.043311,0.002825,0.039871,250001270.691685
DP 146,0.02658,0.035245,0.004872,0.035162,116748904.790306
DP 147,0.044562,0.035977,0.003436,0.035376,174472975.431547
DP 148,0.033391,0.025405,0.003345,0.020371,194063534.348825
DP 149,0.037236,0.044006,0.003468,0.025752,206120465.098667
DP 150,0.020156,0.030522,0.002896,0.028817,306018805.085802
DP 151,0.031504,0.044311,0.004022,0.030547,172853928.553204
DP 152,0.051907,0.020578,0.003086,0.021494,210246494.144606
DP 153,0.034293,0.037741,0.003584,0.03867,180986463.232685
DP 154,0.044129,0.045352,0.003958,0.036354,151543317.9642
DP 155,0.057373,0.026375,0.004954,0.040745,86360065.8411757
DP 156,0.041228,0.042673,0.004429,0.032105,122091479.691553
DP 157,0.048998,0.040658,0.004368,0.037498,115322776.402154
DP 158,0.044339,0.044169,0.004738,0.034572,122298458.598564
DP 159,0.030162,0.03029,0.00423,0.038696,137387075.447685
DP 160,0.039519,0.020283,0.004345,0.028238,177400851.769309
DP 161,0.028973,0.026145,0.003571,0.043568,184709443.06803
DP 162,0.03965,0.03566,0.00347,0.043227,179469548.203247
DP 163,0.025592,0.049054,0.004843,0.033487,141900507.910535
DP 164,0.058784,0.026095,0.00412,0.049457,112649739.072829
DP 165,0.031779,0.031927,0.003715,0.02698,162527954.391661
DP 166,0.02712,0.031282,0.002942,0.048547,285418740.484335
DP 167,0.040463,0.038994,0.004899,0.042305,104439029.64598
DP 168,0.055673,0.04993,0.004583,0.038442,105463163.613097
DP 169,0.053975,0.024428,0.002699,0.048952,237265401.856464
DP 170,0.022146,0.042086,0.00471,0.044557,153331003.386901
DP 171,0.020596,0.033132,0.004517,0.020853,140651011.950579
DP 172,0.049077,0.037848,0.004804,0.04878,93861314.0154035
DP 173,0.023838,0.020996,0.002771,0.047653,303425821.718045
DP 174,0.054118,0.04879,0.004161,0.024659,127217583.753202
DP 175,0.05807,0.029076,0.003276,0.025702,178644282.13323
DP 176,0.040884,0.046064,0.003237,0.049155,208868781.493495
DP 177,0.021984,0.043984,0.004105,0.028392,179593296.626304
DP 178,0.043252,0.048685,0.004476,0.04333,139180046.551288
DP 179,0.038978,0.027056,0.002536,0.03154,291399434.827111
DP 180,0.030741,0.029873,0.003565,0.041622,179457138.803935
DP 181,0.035038,0.022639,0.004686,0.023913,104450200.813943
DP 182,0.054214,0.034702,0.003213,0.045292,191608760.325302
DP 183,0.031649,0.025162,0.004757,0.034372,108961578.456655
DP 184,0.023876,0.020522,0.004494,0.0366,295189402.767226
DP 185,0.042754,0.039009,0.002534,0.028175,325067313.033775
DP 186,0.027396,0.044346,0.004236,0.044945,176968602.667722
DP 187,0.053205,0.037869,0.002937,0.043474,245647081.042056
DP 188,0.022961,0.047514,0.004714,0.039029,153927637.367731
DP 189,0.026227,0.023463,0.003093,0.044913,233049774.96547
DP 190,0.03008,0.044662,0.003306,0.023945,234524451.384075
DP 191,0.025704,0.046961,0.004207,0.029376,187864451.910956
DP 192,0.040384,0.033503,0.004009,0.04046,135236113.637973
DP 193,0.038421,0.039176,0.004541,0.04537,112594923.238649
DP 194,0.059891,0.029265,0.003577,0.033167,147986106.041993
DP 195,0.035083,0.036019,0.004114,0.027389,141083202.420899
DP 196,0.026779,0.044554,0.00486,0.044294,129325460.379636
DP 197,0.030236,0.024,0.003771,0.03976,152220780.876811
DP 198,0.055581,0.035557,0.004027,0.046306,119893875.844391
DP 199,0.052387,0.035321,0.003897,0.049812,147332349.726326
DP 200,0.046261,0.049955,0.003729,0.031709,178173072.073772
DP 201,0.050101,0.047072,0.003001,0.024341,233205545.75107
DP 202,0.053977,0.027521,0.004594,0.047557,86308126.5797124
DP 203,0.046386,0.022828,0.003107,0.039943,182425162.390214
DP 204,0.029743,0.044279,0.004578,0.039819,130790325.544587
DP 205,0.055304,0.035042,0.003198,0.047003,191125897.004092
DP 206,0.047694,0.048654,0.003454,0.044757,194457456.608908
DP 207,0.041903,0.045731,0.002925,0.022557,247195967.178434
DP 208,0.025331,0.048248,0.00373,0.04918,243610361.581879
DP 209,0.051968,0.032523,0.002802,0.0262,254993829.650668
DP 210,0.042063,0.022189,0.004498,0.04422,110796397.970674
DP 211,0.031961,0.036719,0.004417,0.029717,124124268.069285
DP 212,0.058608,0.033872,0.004526,0.04691,101954826.817109
DP 213,0.03048,0.024462,0.002641,0.039487,297765391.664217
DP 214,0.050266,0.044201,0.004178,0.044063,128235742.798899
DP 215,0.053794,0.027605,0.004409,0.029047,97167468.5565519
DP 216,0.047836,0.034202,0.003609,0.028679,156818095.12521
DP 217,0.032571,0.031355,0.004556,0.030243,125935045.928457
DP 218,0.038752,0.047258,0.003326,0.02957,208619939.139967
DP 219,0.022477,0.020857,0.00447,0.046024,197542343.09855
DP 220,0.022739,0.030669,0.003849,0.040986,181165028.457032
DP 221,0.0232,0.042786,0.003602,0.023127,243016964.434803
DP 222,0.043171,0.027848,0.003685,0.041234,151190480.561963
DP 223,0.056893,0.032084,0.002849,0.024564,217185100.894725
DP 224,0.05666,0.02592,0.003251,0.048878,162514638.332892
DP 225,0.056532,0.048806,0.003591,0.029258,166908898.570896
DP 226,0.044794,0.041556,0.003331,0.030396,186471206.302947
DP 227,0.044482,0.037524,0.00368,0.024281,161422788.452271
DP 228,0.056161,0.042272,0.003974,0.033247,133870867.129132
DP 229,0.024917,0.037508,0.003045,0.026718,322021044.460586
DP 230,0.035526,0.039699,0.003543,0.044696,192256747.570901
DP 231,0.054489,0.022435,0.004551,0.041945,100649364.04785
DP 232,0.055121,0.024332,0.004879,0.046345,78804834.671284
DP 233,0.036562,0.037265,0.003308,0.036734,211454321.682839
DP 234,0.042787,0.037564,0.004991,0.047958,102882172.676978
DP 235,0.028849,0.026684,0.003796,0.04904,165428169.942932
DP 236,0.035955,0.024602,0.004463,0.045414,106962581.387478
DP 237,0.025925,0.02595,0.004071,0.030721,144923373.117526
DP 238,0.049666,0.025295,0.003866,0.031995,137109552.847695
DP 239,0.037509,0.04621,0.003655,0.038061,205237695.668569
DP 240,0.025504,0.023776,0.002625,0.027017,336503160.916719
DP 241,0.045973,0.032267,0.0035,0.026875,164479145.823736
DP 242,0.056798,0.045873,0.003029,0.047136,234637462.078163
DP 243,0.044305,0.021602,0.003976,0.028626,124600665.114912
DP 244,0.03092,0.037042,0.003966,0.025672,150613694.849874
DP 245,0.03228,0.048325,0.003181,0.022816,257377017.014553
DP 246,0.047885,0.03343,0.002868,0.022297,237953832.952603
DP 247,0.052234,0.038254,0.002922,0.040609,222046098.755384
DP 248,0.040865,0.035482,0.004158,0.030019,139609924.736145
DP 249,0.041365,0.034669,0.004968,0.039542,99975526.2794344
DP 250,0.059646,0.038461,0.004727,0.034082,92442671.3017184
DP 251,0.033357,0.046008,0.003052,0.023699,267932709.224714
DP 252,0.044921,0.037628,0.004293,0.029651,137306556.684675
DP 253,0.041713,0.023123,0.004688,0.047046,92694444.9316619
DP 254,0.036093,0.032897,0.003775,0.038906,151888312.095875
DP 255,0.032333,0.022574,0.003606,0.04355,174908202.397919
DP 256,0.059504,0.03688,0.004641,0.033294,93015887.8605372
DP 257,0.022208,0.029848,0.002607,0.024997,385901836.049736
DP 258,0.053308,0.021559,0.002954,0.02611,203086807.767598
DP 259,0.043309,0.024953,0.003661,0.049651,144136783.032155
DP 260,0.050866,0.0337,0.004808,0.024418,91239618.6132917
DP 261,0.054541,0.044593,0.004724,0.032751,121198473.187613
DP 262,0.053075,0.042591,0.004092,0.031603,120917874.073532
DP 263,0.03413,0.021999,0.004982,0.040107,103188301.525184
DP 264,0.02305,0.03675,0.004038,0.046264,184973620.067655
DP 265,0.036007,0.026507,0.002628,0.043366,301081765.016858
DP 266,0.024953,0.022004,0.002945,0.046618,264769890.56275
DP 267,0.057456,0.034803,0.004676,0.032517,108869796.607555
DP 268,0.052906,0.043365,0.00414,0.048015,141371743.867315
DP 269,0.026713,0.038872,0.004323,0.024849,145790791.776676
DP 270,0.045383,0.029293,0.003379,0.020608,188622846.641758
DP 271,0.05848,0.031407,0.00375,0.023329,139738513.811443
DP 272,0.025166,0.044264,0.004671,0.033312,151660203.320489
DP 273,0.03408,0.026637,0.003907,0.028245,153071705.830944
DP 274,0.040679,0.043472,0.004411,0.048292,121163165.52081
DP 275,0.037805,0.035083,0.004834,0.033679,102460334.373153
DP 276,0.027069,0.034368,0.003695,0.032073,175712448.380881
DP 277,0.032079,0.030567,0.002572,0.039042,337238155.211579
DP 278,0.026922,0.043156,0.00302,0.04908,290291311.90559
DP 279,0.034675,0.035279,0.003722,0.022856,159308167.962344
DP 280,0.038365,0.029548,0.003573,0.030553,166607674.023877
DP 281,0.043471,0.026433,0.003825,0.037277,141154279.478537
DP 282,0.022386,0.048585,0.004085,0.023032,200809490.566896
DP 283,0.052715,0.04743,0.004192,0.033895,133771525.653538
DP 284,0.051351,0.039401,0.002606,0.030838,308095271.900946
DP 285,0.039117,0.044059,0.004973,0.034537,97393849.4050447
DP 286,0.021241,0.0491,0.002612,0.026379,466762523.561174
DP 287,0.034551,0.049156,0.003809,0.043192,205496838.279933
DP 288,0.027872,0.042868,0.004065,0.038851,166939602.027653
DP 289,0.031391,0.042328,0.00253,0.04482,408759035.992527
DP 290,0.02964,0.02383,0.002644,0.027501,303839886.710603
DP 291,0.053485,0.038616,0.003954,0.045409,130643088.492374
DP 292,0.029935,0.041413,0.002706,0.041551,317576577.300334
DP 293,0.028914,0.03453,0.003065,0.032498,236961482.002083
DP 294,0.02149,0.023316,0.003227,0.023798,229917548.498863
DP 295,0.051236,0.041787,0.004759,0.031453,99258051.1307305
DP 296,0.026471,0.03283,0.003427,0.045876,214425107.126443
DP 297,0.028001,0.037125,0.002595,0.031299,362653191.586734
DP 298,0.039274,0.023255,0.00258,0.020813,310045066.872895
DP 299,0.024813,0.034342,0.00269,0.04285,377040129.51756
DP 300,0.020229,0.043581,0.004348,0.026562,165622123.538804
DP 301,0.023368,0.021701,0.003631,0.021193,187695746.471128
DP 302,0.024472,0.02293,0.003951,0.024098,147982485.829229
DP 303,0.023862,0.021474,0.003923,0.021591,174091689.519192
DP 304,0.021007,0.02229,0.00383,0.023324,172666448.585209
DP 305,0.024634,0.023361,0.003453,0.021433,197666954.976511
DP 306,0.025173,0.024195,0.004211,0.020699,128923071.561582
DP 307,0.021266,0.023556,0.004054,0.021115,150911466.7852
DP 308,0.020854,0.021196,0.004176,0.020232,174952953.959977
DP 309,0.022002,0.022617,0.003694,0.022882,177777077.326523
DP 310,0.025961,0.021918,0.003795,0.021874,161373418.093249
DP 311,0.024069,0.024313,0.003863,0.020155,160277939.467827
DP 312,0.02245,0.022069,0.004013,0.02061,160611385.026637
DP 313,0.021595,0.020869,0.003571,0.022248,218566634.983174
DP 314,0.024864,0.0203,0.004133,0.024324,251887810.268568
DP 315,0.020162,0.020547,0.003439,0.024024,234493421.537917
DP 316,0.022799,0.022819,0.004095,0.023653,147068239.646239
DP 317,0.02311,0.0201,0.00351,0.023082,236791024.337966
DP 318,0.025691,0.021027,0.00339,0.023508,209464090.303131
DP 319,0.022144,0.023997,0.003757,0.022412,172887295.665069
DP 320,0.020512,0.023676,0.0036,0.022524,195233091.889657
DP 321,0.02,0.02,0.003805,0.02,294068254.409283
DP 322,0.022952,0.021815,0.003764,0.020073,175505709.831273
DP 323,0.02125,0.020726,0.003816,0.020291,203389132.307969
DP 324,0.020279,0.021092,0.003691,0.021938,212043379.700929
DP 325,0.020754,0.020523,0.003592,0.021385,229586730.806715
DP 326,0.022703,0.022145,0.003861,0.020568,170476857.191033
DP 327,0.021997,0.022315,0.00395,0.020746,162709262.843605
DP 328,0.021671,0.020433,0.004023,0.021189,225126113.835732
DP 329,0.022511,0.020076,0.003625,0.022168,259452456.55675
DP 330,0.021496,0.021591,0.003734,0.021875,192233644.675076
DP 331,0.020598,0.021326,0.003938,0.021519,181385303.388332
