#
# LHS design points generated in Python
# The parameters defined in the project are:
#           P1 - length P2 - width P3 - thickness P4 - height
#
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4
DP 22,0.05433549128838655,0.03574968656746899,0.002175430636918605,0.03539110388747668
DP 23,0.03502153748977038,0.033685693632171054,0.0022609546373255638,0.026710915222064334
DP 24,0.041855274955778635,0.02357370502420517,0.0037964598229363847,0.020611430700635147
DP 25,0.03963656772371695,0.04799008785985678,0.003132023901156214,0.043109247086795685
DP 26,0.04648849963841367,0.0449849329432523,0.0021065191549356865,0.027418327531446452
DP 27,0.0247614436151386,0.026329219281036847,0.003996326711304992,0.04483929099056143
DP 28,0.03227761735033974,0.02702623412931743,0.0048446968165118225,0.03954301571477229
DP 29,0.040496592188065915,0.02278416111321472,0.002317037208806747,0.04711180734778927
DP 30,0.020966360812434907,0.03420504601953356,0.0035274666703658036,0.03067525777934882
DP 31,0.055183354330455237,0.045651802754226645,0.0032801041636300165,0.03855664274334018
DP 32,0.05755863881291097,0.03602370662834669,0.004124882210943894,0.02032246396448696
DP 33,0.05176757554411984,0.02589593905863955,0.0038722725352555577,0.040693158838691096
DP 34,0.03761657631470342,0.03155530896891713,0.004916517943182491,0.02927518100002327
DP 35,0.024205336667664737,0.039352787901693644,0.003621865206350751,0.03812848158428718
DP 36,0.035810604239577215,0.043019907301072434,0.0021400529300797237,0.042643798279258543
DP 37,0.038624435415877977,0.043393516376035904,0.004945211242274169,0.04643115176844807
DP 38,0.03474390036440056,0.04653378915693829,0.0035867427277659365,0.02849832797208806
DP 39,0.04108750648646439,0.040202173209592434,0.0034181901615713936,0.04976940575242471
DP 40,0.05675690362161763,0.04912519644645873,0.0033730935802731535,0.048788776233147146
DP 41,0.030178059012243404,0.020488723314841268,0.003595106307706028,0.032057524558380714
DP 42,0.03547314444287091,0.04401413018147908,0.0027412724648557965,0.03034548286123049
DP 43,0.02549761396377296,0.025119186928985314,0.0028050617654725397,0.030186526814182303
DP 44,0.03742596117599878,0.02990228733078325,0.004133249682012353,0.027575417594162918
DP 45,0.045643683003648586,0.03173196600809064,0.0028244342491884067,0.041805221284450765
DP 46,0.028891195027155606,0.029101501621049672,0.004028790268133789,0.03197165999958155
DP 47,0.02250128415546039,0.046321261845223144,0.004041895605483986,0.0409277088274983
DP 48,0.020750896827035407,0.042550666198362536,0.0035554014705012653,0.022946219507552677
DP 49,0.04456024688339166,0.04463763138774876,0.0028641069600285627,0.02200690289812997
DP 50,0.039289038064703526,0.02420845207218171,0.00315497776441393,0.042156830749234625
DP 51,0.05479442548491671,0.04693110319100035,0.0027160453334664045,0.026396702397916146
DP 52,0.038351266998148587,0.04984810102051382,0.0036891721269307134,0.02462566501723373
DP 53,0.03432008973933598,0.03625876264214532,0.004858537786111526,0.04017830479882534
DP 54,0.021547576899377075,0.028662873858904897,0.003832173123469805,0.04688072654185252
DP 55,0.05347962052328761,0.03215342478639455,0.003330114073617093,0.044013313022885914
DP 56,0.02788542150924718,0.03742255747120639,0.002539254215258412,0.033333440587301956
DP 57,0.05254640995532757,0.04606823077887477,0.004275789812088083,0.03517426570420511
DP 58,0.04841350723514272,0.04772118723402969,0.002452009303351994,0.03865869172531611
DP 59,0.03261304735937788,0.021564570965224343,0.0023894648964806905,0.02146725680097028
DP 60,0.0424682285540469,0.041360954873502456,0.004603020777741006,0.028840769122820284
DP 61,0.04935759367171999,0.023039678313867197,0.0038119067852798384,0.025576228529217898
DP 62,0.05625032638263712,0.024972235374087947,0.002040442069232601,0.031139752810474305
DP 63,0.04021844124716947,0.04212564813111459,0.002232900129110073,0.023976195715926966
DP 64,0.025673372494630434,0.04456841657604377,0.002658003234291345,0.039921669900873064
DP 65,0.02874153070232292,0.020652600742863098,0.003310689959782278,0.04635683842010866
DP 66,0.02323161181100502,0.04755034048317942,0.004511458397529862,0.028053915981442384
DP 67,0.04515380397453385,0.04069365559509907,0.003978338137725072,0.03464760755871925
DP 68,0.02037864722694913,0.040822656855166714,0.002069578564196015,0.047781910862950396
DP 69,0.05067280356121917,0.025548642128893333,0.003023749851732962,0.02694466051195334
DP 70,0.05038260997519488,0.030445550477121046,0.004782897653866868,0.03942518372725034
DP 71,0.04817150693930289,0.029775121272289044,0.002568522376402172,0.03428791575846213
DP 72,0.044190498820512944,0.022669498429128885,0.0041949962433863435,0.02538441144006047
DP 73,0.03323006325239278,0.04127026605752604,0.0023946927514520676,0.029629204056821717
DP 74,0.022008171727765362,0.020059392235917923,0.00347661567377686,0.028207255017201338
DP 75,0.03688840145816875,0.022059634337476056,0.002613917958921571,0.021045733138942875
DP 76,0.030456971142350978,0.03816116019032195,0.0031884473151169894,0.04290813101862887
DP 77,0.02949341467299966,0.04185806947671382,0.0029156636817792877,0.03277493318942153
DP 78,0.03150697202378845,0.02108974645696546,0.0044190082265052125,0.023801751330676236
DP 79,0.04344821436810922,0.023694276996363218,0.004991093705762862,0.024215342621985398
DP 80,0.05683346079218472,0.021355726871509977,0.0022001491638498592,0.036339369563051
DP 81,0.028060575804490548,0.03090422379783197,0.0029658682451615876,0.020140183317180278
DP 82,0.03094683294829295,0.03851355331574526,0.0040779532051306916,0.04513927862206228
DP 83,0.058522080748472594,0.026641784279502232,0.0023560369148809537,0.025815686077837425
DP 84,0.026361961700708026,0.037782285311518574,0.0029574652034352945,0.023319218053189813
DP 85,0.03314503682798488,0.04941233592622728,0.0038959734747174473,0.04382189539866009
DP 86,0.05528695035814818,0.03446146554830507,0.00470161918811548,0.04962398499384825
DP 87,0.027363969641856674,0.043971485240730676,0.0028815150289992764,0.04154861260877216
DP 88,0.038974019755411024,0.03482827084578985,0.004566020445410563,0.022543210467346062
DP 89,0.031694430643997365,0.038660226585046385,0.0033952354035327375,0.02942012196754322
DP 90,0.042027505505723955,0.03526407992344967,0.004366486893022997,0.03107368729642677
DP 91,0.02493685468598379,0.03727441750976289,0.002276770357515745,0.034798630576007426
DP 92,0.052266544896668696,0.03983049003579154,0.0030571240355878803,0.042418839517726944
DP 93,0.03625432319289118,0.026205668005938723,0.00373527165054125,0.03615566498823734
DP 94,0.0236255490146497,0.04236862878884038,0.004808500405316678,0.03748109428739679
DP 95,0.04977880277389883,0.02751915800394846,0.004736590955182718,0.03305618913076264
DP 96,0.046249456210607665,0.03320401053652271,0.0041684671929198905,0.04581464160199885
DP 97,0.05955260856911318,0.030544839896242765,0.002010887783480264,0.023263423496499465
DP 98,0.026564696800012312,0.03389417109046837,0.004339630919423342,0.04746370461144748
DP 99,0.04366984019552146,0.04841139229239678,0.004896243557546044,0.03156730576187963
