#,,,,,
# LHS design points generated in Python,,,,,
# The parameters defined in the project are:,,,,,
#           P1 - length P2 - width P3 - thickness P4 - height,,,,,
#,,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,,
Name,P1,P2,P3,P4,
DP 165,0.024953,0.022004,0.002945,0.046618,
DP 166,0.057456,0.034803,0.004676,0.032517,
DP 167,0.052906,0.043365,0.00414,0.048015,
DP 168,0.026713,0.038872,0.004323,0.024849,
DP 169,0.045383,0.029293,0.003379,0.020608,
DP 170,0.05848,0.031407,0.00375,0.023329,
DP 171,0.025166,0.044264,0.004671,0.033312,
DP 172,0.03408,0.026637,0.003907,0.028245,
DP 173,0.040679,0.043472,0.004411,0.048292,
DP 174,0.037805,0.035083,0.004834,0.033679,
DP 175,0.027069,0.034368,0.003695,0.032073,
DP 176,0.032079,0.030567,0.002572,0.039042,
DP 177,0.026922,0.043156,0.00302,0.04908,
DP 178,0.034675,0.035279,0.003722,0.022856,
DP 179,0.038365,0.029548,0.003573,0.030553,
DP 180,0.043471,0.026433,0.003825,0.037277,
DP 181,0.022386,0.048585,0.004085,0.023032,
DP 182,0.052715,0.04743,0.004192,0.033895,
DP 183,0.051351,0.039401,0.002606,0.030838,
DP 184,0.039117,0.044059,0.004973,0.034537,
DP 185,0.021241,0.0491,0.002612,0.026379,
DP 186,0.034551,0.049156,0.003809,0.043192,
DP 187,0.027872,0.042868,0.004065,0.038851,
DP 188,0.031391,0.042328,0.00253,0.04482,
DP 189,0.02964,0.02383,0.002644,0.027501,
DP 190,0.053485,0.038616,0.003954,0.045409,
DP 191,0.029935,0.041413,0.002706,0.041551,
DP 192,0.028914,0.03453,0.003065,0.032498,
DP 193,0.02149,0.023316,0.003227,0.023798,
DP 194,0.051236,0.041787,0.004759,0.031453,
DP 195,0.026471,0.03283,0.003427,0.045876,
DP 196,0.028001,0.037125,0.002595,0.031299,
DP 197,0.039274,0.023255,0.00258,0.020813,
DP 198,0.024813,0.034342,0.00269,0.04285,
DP 199,0.020229,0.043581,0.004348,0.026562,
DP 200,0.048748,0.04361,0.00271,0.023393,
DP 201,0.047397,0.026271,0.00442,0.033615,
DP 202,0.04839,0.028724,0.004609,0.023861,
DP 203,0.033564,0.030083,0.004793,0.027762,
DP 204,0.045247,0.033671,0.003041,0.040956,
DP 205,0.03071,0.046083,0.003381,0.035632,
DP 206,0.046306,0.03962,0.003047,0.040233,
DP 207,0.024649,0.025508,0.004332,0.039671,
DP 208,0.028717,0.04777,0.004949,0.023532,
DP 209,0.053436,0.032794,0.002984,0.046189,
DP 210,0.05085,0.029731,0.004691,0.029193,
DP 211,0.031766,0.02628,0.002875,0.022459,
DP 212,0.03797,0.025519,0.004597,0.022062,
DP 213,0.041248,0.028279,0.002715,0.046087,
DP 214,0.049851,0.032556,0.00299,0.03643,
DP 215,0.02746,0.041216,0.00492,0.043084,
DP 216,0.029053,0.048107,0.003736,0.025041,
DP 217,0.033145,0.046372,0.004521,0.02962,
DP 218,0.058484,0.049746,0.003797,0.036694,
DP 219,0.042511,0.041334,0.004878,0.048049,
DP 220,0.049177,0.039083,0.004385,0.034225,
DP 221,0.037738,0.034987,0.003315,0.031754,
DP 222,0.023487,0.035804,0.003916,0.049967,
DP 223,0.020265,0.035376,0.003228,0.040487,
DP 224,0.024631,0.035407,0.003726,0.03381,
DP 225,0.042967,0.028405,0.002632,0.04557,
DP 226,0.039542,0.045184,0.002723,0.040651,
DP 227,0.05277,0.049231,0.003664,0.021866,
DP 228,0.038533,0.04538,0.002853,0.024002,
DP 229,0.050663,0.026133,0.004298,0.031222,
DP 230,0.042938,0.031419,0.003323,0.025947,
DP 231,0.025556,0.043405,0.003948,0.025971,
DP 232,0.038456,0.049354,0.004301,0.023194,
DP 233,0.054372,0.034215,0.004478,0.034407,
DP 234,0.057704,0.047685,0.003023,0.0401,
DP 235,0.035206,0.048178,0.004117,0.048089,
DP 236,0.050048,0.032474,0.003012,0.03566,
DP 237,0.028512,0.022988,0.003636,0.022233,
DP 238,0.032265,0.020374,0.004374,0.02328,
DP 239,0.021068,0.049327,0.003539,0.027844,
DP 240,0.054918,0.041606,0.002767,0.035306,
DP 241,0.039956,0.020811,0.004923,0.021236,
DP 242,0.056756,0.031131,0.004014,0.03824,
DP 243,0.030018,0.028486,0.004467,0.032876,
DP 244,0.038186,0.028676,0.004044,0.02989,
DP 245,0.045748,0.034558,0.003254,0.041467,
DP 246,0.046614,0.049417,0.004735,0.036136,
DP 247,0.059616,0.040283,0.00257,0.042491,
DP 248,0.044377,0.027786,0.003368,0.038157,
DP 249,0.02935,0.044483,0.003503,0.03237,
DP 250,0.039353,0.027467,0.003517,0.043512,
DP 251,0.05335,0.033366,0.002762,0.029403,
DP 252,0.053622,0.028191,0.004694,0.027359,
DP 253,0.032898,0.035829,0.00312,0.030373,
DP 254,0.023141,0.044109,0.004149,0.033191,
DP 255,0.020879,0.031457,0.004968,0.027602,
DP 256,0.027188,0.023817,0.002647,0.035125,
DP 257,0.027001,0.021021,0.003415,0.021699,
DP 258,0.035931,0.027693,0.003818,0.025564,
DP 259,0.048904,0.022779,0.004993,0.030237,
DP 260,0.023398,0.043253,0.00426,0.045219,
DP 261,0.0417,0.021678,0.004327,0.032663,
DP 262,0.042213,0.025888,0.002685,0.047754,
DP 263,0.03401,0.040961,0.002634,0.037391,
DP 264,0.042119,0.042027,0.003111,0.047286,
DP 265,0.042071,0.020427,0.003588,0.034427,
DP 266,0.03387,0.028208,0.002961,0.040287,
DP 267,0.025884,0.046503,0.003357,0.026634,
DP 268,0.036439,0.038692,0.003699,0.034265,
DP 269,0.036159,0.047742,0.002547,0.031782,
DP 270,0.037092,0.022348,0.002739,0.020488,
DP 271,0.049794,0.038767,0.004633,0.042629,
DP 272,0.040943,0.041295,0.004212,0.045461,
DP 273,0.026102,0.025474,0.003329,0.049917,
DP 274,0.022886,0.028903,0.002725,0.02096,
DP 275,0.020505,0.043644,0.00444,0.031316,
DP 276,0.057971,0.044732,0.003652,0.02109,
DP 277,0.046161,0.034269,0.002844,0.020882,
DP 278,0.03027,0.044623,0.002727,0.044791,
DP 279,0.044913,0.029455,0.002913,0.03959,
DP 280,0.026268,0.045858,0.004952,0.022684,
DP 281,0.053912,0.037015,0.004246,0.021459,
DP 282,0.032752,0.046173,0.003147,0.030672,
DP 283,0.040593,0.046389,0.004382,0.046989,
DP 284,0.023657,0.03733,0.004339,0.031391,
DP 285,0.04734,0.02249,0.003837,0.045661,
DP 286,0.037268,0.027334,0.002659,0.046834,
DP 287,0.043839,0.030728,0.002954,0.046315,
DP 288,0.020088,0.03165,0.003113,0.042618,
DP 289,0.059262,0.029586,0.004959,0.046697,
DP 290,0.03301,0.02415,0.004256,0.03796,
DP 291,0.035671,0.033901,0.003411,0.036533,
DP 292,0.040146,0.038204,0.002588,0.048699,
DP 293,0.030793,0.020146,0.003372,0.029284,
DP 294,0.049036,0.046918,0.002623,0.039372,
DP 295,0.045667,0.046996,0.002885,0.020994,
DP 296,0.044774,0.02511,0.003407,0.041828,
DP 297,0.039902,0.033184,0.00491,0.034917,
DP 298,0.059546,0.023208,0.004308,0.041407,
DP 299,0.057553,0.021357,0.004243,0.030182,till here till now
DP 300,0.054273,0.024878,0.004041,0.039148,
DP 301,0.043355,0.04324,0.004449,0.024535,
DP 302,0.059344,0.027158,0.002512,0.02604,
DP 303,0.032158,0.026745,0.004134,0.032775,
DP 304,0.051664,0.039498,0.002693,0.025791,
DP 305,0.037057,0.023372,0.004405,0.049254,
DP 306,0.057509,0.046452,0.004838,0.041018,
DP 307,0.050945,0.04217,0.003594,0.047221,
DP 308,0.028451,0.035528,0.00358,0.047893,
DP 309,0.037784,0.031089,0.003887,0.049961,
DP 310,0.054397,0.029989,0.004056,0.021446,
DP 311,0.058972,0.026543,0.004814,0.035441,
DP 312,0.040419,0.029899,0.002819,0.025307,
DP 313,0.043949,0.021944,0.0036,0.046626,
DP 314,0.043643,0.027903,0.003567,0.026655,
DP 315,0.059216,0.031572,0.003755,0.02676,
DP 316,0.021813,0.037662,0.004456,0.027449,
DP 317,0.031287,0.043811,0.002991,0.038401,
DP 318,0.033269,0.028152,0.002672,0.038817,
DP 319,0.057646,0.041514,0.003954,0.024945,
DP 320,0.03488,0.044089,0.004381,0.044633,
DP 321,0.034762,0.033278,0.003528,0.046402,
DP 322,0.021956,0.032946,0.003683,0.025391,
DP 323,0.057078,0.021817,0.003861,0.037228,
DP 324,0.0508,0.021512,0.004978,0.03709,
DP 325,0.025783,0.048394,0.004121,0.021646,
DP 326,0.037341,0.042037,0.003929,0.020011,
DP 327,0.040044,0.040036,0.004829,0.023727,
DP 328,0.039468,0.024689,0.003807,0.034183,
DP 329,0.020434,0.036516,0.004397,0.048246,
DP 330,0.041494,0.025053,0.004172,0.024076,
DP 331,0.02187,0.032108,0.004473,0.031256,
DP 332,0.055804,0.040443,0.004696,0.026845,
DP 333,0.045998,0.024553,0.003218,0.045522,
DP 334,0.048221,0.033014,0.002897,0.049573,
DP 335,0.033972,0.040179,0.00332,0.02336,
DP 336,0.040966,0.026324,0.003642,0.042746,
DP 337,0.047291,0.039306,0.004874,0.041144,
DP 338,0.045366,0.033472,0.003115,0.022275,
DP 339,0.036896,0.048467,0.003058,0.020719,
DP 340,0.036705,0.045539,0.003199,0.023585,
DP 341,0.023335,0.025085,0.003281,0.03365,
DP 342,0.027945,0.03985,0.004278,0.021105,
DP 343,0.024257,0.043938,0.004394,0.036032,
DP 344,0.022545,0.024901,0.00432,0.032985,
DP 345,0.038509,0.039792,0.003708,0.026276,
DP 346,0.053519,0.021861,0.003734,0.020196,
DP 347,0.05789,0.02255,0.003242,0.037868,
DP 348,0.025052,0.047963,0.004934,0.047857,
DP 349,0.04301,0.043279,0.004613,0.040159,
DP 350,0.043198,0.043067,0.002583,0.022093,
DP 351,0.036681,0.028956,0.003535,0.02848,
DP 352,0.020742,0.020217,0.004891,0.036863,
DP 353,0.043502,0.024347,0.003077,0.039973,
DP 354,0.056435,0.040981,0.004359,0.042415,
DP 355,0.038864,0.040707,0.003418,0.046814,
DP 356,0.028397,0.042435,0.003028,0.047377,
DP 357,0.034815,0.023674,0.004107,0.042669,
DP 358,0.022113,0.024201,0.0046,0.022001,
DP 359,0.050565,0.049672,0.004233,0.025863,
DP 360,0.058334,0.040102,0.003712,0.038205,
DP 361,0.038704,0.03736,0.002756,0.048671,
DP 362,0.050408,0.021476,0.004003,0.034048,
DP 363,0.020098,0.045588,0.003855,0.038273,
DP 364,0.055622,0.035502,0.004155,0.044608,
DP 365,0.026631,0.035774,0.0026,0.025472,
DP 366,0.048844,0.020115,0.003941,0.043751,
DP 367,0.032656,0.027649,0.004552,0.027649,
DP 368,0.02634,0.029155,0.003289,0.032845,
DP 369,0.048256,0.029759,0.003272,0.044673,v4
DP 370,0.046693,0.028584,0.002889,0.022647,
DP 371,0.03804,0.04155,0.003891,0.021398,
DP 372,0.030993,0.033535,0.004348,0.037765,
DP 373,0.059281,0.02318,0.004355,0.045012,
DP 374,0.052604,0.040495,0.002982,0.035943,
DP 375,0.042682,0.026967,0.004341,0.021158,
DP 376,0.046537,0.039465,0.004377,0.044846,
DP 377,0.0353,0.032664,0.003853,0.048855,
DP 378,0.045488,0.045043,0.00427,0.04068,
DP 379,0.031351,0.041243,0.002666,0.033476,
DP 380,0.02132,0.047809,0.004845,0.02387,
DP 381,0.054082,0.038166,0.003304,0.031052,
DP 382,0.040131,0.020749,0.003557,0.041306,
DP 383,0.028251,0.03501,0.003445,0.035604,
DP 384,0.05624,0.036802,0.003006,0.029536,
DP 385,0.059457,0.026405,0.003105,0.037477,
DP 386,0.028576,0.039435,0.003301,0.03225,
DP 387,0.045181,0.044439,0.002816,0.041054,
DP 388,0.050469,0.045091,0.003232,0.047801,
DP 389,0.057796,0.044776,0.00405,0.031074,
DP 390,0.058161,0.029703,0.004681,0.021038,
DP 391,0.043872,0.042363,0.004483,0.048137,
DP 392,0.031426,0.029811,0.002778,0.03467,
DP 393,0.059055,0.02604,0.004681,0.036406,
DP 394,0.025251,0.035936,0.004905,0.03928,
DP 395,0.051775,0.022231,0.002539,0.029232,
DP 396,0.054317,0.020071,0.002999,0.032015,
DP 397,0.035481,0.037822,0.002678,0.035239,
DP 398,0.047221,0.037952,0.003156,0.029114,
DP 399,0.031715,0.024822,0.004745,0.037681,
DP 400,0.04759,0.047237,0.004372,0.026455,
DP 401,0.043116,0.045473,0.00275,0.037336,
DP 402,0.028762,0.044226,0.004508,0.032594,
DP 403,0.031045,0.048228,0.004538,0.047786,
DP 404,0.057793,0.049704,0.004224,0.043688,
DP 405,0.034197,0.030637,0.003883,0.031445,
DP 406,0.048028,0.038526,0.004203,0.033028,
DP 407,0.026888,0.0244,0.003464,0.028315,
DP 408,0.030407,0.027493,0.00317,0.037641,
DP 409,0.026188,0.039623,0.003387,0.03494,
DP 410,0.025207,0.045514,0.00343,0.038648,
DP 411,0.026152,0.034915,0.003447,0.045042,
DP 412,0.041567,0.045662,0.00268,0.034473,
DP 413,0.021046,0.030892,0.004805,0.042538,
DP 414,0.021645,0.034074,0.003927,0.027344,
DP 415,0.048085,0.045288,0.002978,0.021269,
DP 416,0.045291,0.049971,0.004926,0.043923,
DP 417,0.057331,0.025832,0.004666,0.03222,
DP 418,0.051827,0.025685,0.003394,0.034761,
DP 419,0.042265,0.037088,0.002929,0.032568,
DP 420,0.027644,0.048834,0.003472,0.027162,
DP 421,0.038937,0.038061,0.003478,0.040879,
DP 422,0.058272,0.034055,0.003101,0.048727,
DP 423,0.035391,0.02725,0.00478,0.038292,
DP 424,0.039715,0.031248,0.004078,0.045079,
DP 425,0.058395,0.031932,0.00314,0.036047,
DP 426,0.029679,0.043518,0.004063,0.024917,
DP 427,0.056006,0.029197,0.003351,0.036263,
DP 428,0.039725,0.027866,0.004798,0.033525,
DP 429,0.029088,0.033565,0.003294,0.02173,
DP 430,0.055033,0.045958,0.003004,0.025015,
DP 431,0.040069,0.036964,0.002838,0.020453,
DP 432,0.058711,0.030021,0.003782,0.049309,
DP 433,0.052839,0.036439,0.003285,0.042698,
DP 434,0.023591,0.022958,0.003136,0.03449,
DP 435,0.048311,0.038509,0.002595,0.049726,
DP 436,0.054036,0.030254,0.003035,0.044189,
DP 437,0.033495,0.025709,0.00305,0.037372,
DP 438,0.035683,0.045696,0.002516,0.036221,
DP 439,0.04358,0.046415,0.003618,0.031175,
DP 440,0.021732,0.04958,0.003123,0.030169,
DP 441,0.050201,0.036618,0.004707,0.03617,
DP 442,0.045741,0.020627,0.002823,0.046525,
DP 443,0.044523,0.022452,0.003079,0.032051,
DP 444,0.035829,0.026191,0.003462,0.023053,
DP 445,0.035027,0.0278,0.003669,0.026443,
DP 446,0.034931,0.02573,0.003393,0.032459,
DP 447,0.024512,0.047584,0.003518,0.033058,
DP 448,0.043714,0.028597,0.004423,0.024404,
DP 449,0.039376,0.032197,0.004194,0.021289,
DP 450,0.027696,0.034599,0.003143,0.037735,
DP 451,0.033302,0.045114,0.002554,0.040536,
DP 452,0.041958,0.038135,0.003384,0.025605,
DP 453,0.036839,0.027199,0.003365,0.049016,
DP 454,0.057023,0.02526,0.002932,0.026737,
DP 455,0.033153,0.027362,0.002748,0.038945,
DP 456,0.027966,0.042584,0.002901,0.041087,
DP 457,0.046394,0.034776,0.004266,0.034691,
DP 458,0.040209,0.03327,0.003017,0.042962,
DP 459,0.021425,0.042192,0.004564,0.035078,
DP 460,0.03701,0.02898,0.003614,0.032623,
DP 461,0.036314,0.022289,0.004209,0.026081,
DP 462,0.052303,0.034388,0.004126,0.0419,
DP 463,0.023287,0.041043,0.002581,0.026,
DP 464,0.046932,0.028542,0.004611,0.021991,
DP 465,0.045628,0.031173,0.00494,0.020637,
DP 466,0.037534,0.048039,0.004032,0.020579,
DP 467,0.03124,0.036178,0.00397,0.031123,
DP 468,0.058805,0.038276,0.002759,0.046214,
DP 469,0.051482,0.020265,0.004743,0.041325,
DP 470,0.025402,0.03715,0.004625,0.038457,
DP 471,0.041548,0.036782,0.004824,0.038338,
DP 472,0.028605,0.031674,0.003996,0.040801,
DP 473,0.044986,0.037241,0.003792,0.044028,
DP 474,0.044016,0.023715,0.004454,0.028929,
DP 475,0.047743,0.041827,0.004239,0.041719,
DP 476,0.032386,0.029364,0.003812,0.044411,
DP 477,0.033434,0.041831,0.003991,0.029752,
DP 478,0.054809,0.033602,0.002879,0.042924,
DP 479,0.056062,0.031734,0.004303,0.022105,
DP 480,0.034368,0.042748,0.003019,0.04816,
DP 481,0.048587,0.036481,0.002651,0.030872,
DP 482,0.035264,0.023399,0.003547,0.030738,
DP 483,0.033665,0.035179,0.003992,0.042169,
DP 484,0.030875,0.020048,0.003764,0.04924,
DP 485,0.021369,0.038674,0.002987,0.048821,
DP 486,0.044238,0.041934,0.00427,0.046037,
DP 487,0.051401,0.036347,0.004333,0.041827,
DP 488,0.053252,0.024691,0.003831,0.031001,
DP 489,0.046136,0.030721,0.002966,0.044324,
DP 490,0.054454,0.036848,0.004154,0.024788,
DP 491,0.058725,0.025204,0.002719,0.040385,
DP 492,0.020852,0.021051,0.003904,0.028863,
DP 493,0.031185,0.039367,0.004143,0.039717,
DP 494,0.023703,0.027071,0.004535,0.041131,
DP 495,0.041432,0.024125,0.004903,0.027061,
DP 496,0.035558,0.047037,0.004364,0.043769,
DP 497,0.051035,0.047029,0.003951,0.048977,
DP 498,0.036076,0.046825,0.004082,0.029077,
DP 499,0.055711,0.040885,0.003529,0.021913,
DP 500,0.027823,0.02695,0.002946,0.026322,
DP 501,0.023949,0.041142,0.004547,0.027202,
DP 502,0.020361,0.033976,0.004787,0.022783,
DP 503,0.057603,0.043192,0.004783,0.040016,
DP 504,0.032217,0.049826,0.004889,0.048573,
DP 505,0.047464,0.032996,0.003649,0.037578,
DP 506,0.050002,0.02409,0.002891,0.029918,
DP 507,0.05993,0.02798,0.002669,0.046948,
DP 508,0.046053,0.036572,0.002908,0.027939,
DP 509,0.037658,0.022758,0.003191,0.022318,
DP 510,0.044079,0.042214,0.003234,0.035727,
DP 511,0.021886,0.034481,0.003292,0.048602,
DP 512,0.052591,0.025368,0.004851,0.037206,
DP 513,0.052807,0.034143,0.004275,0.041983,
DP 514,0.0503,0.040363,0.00462,0.036584,
DP 515,0.032784,0.023922,0.002545,0.039755,
DP 516,0.054693,0.034002,0.003622,0.024691,
DP 517,0.058011,0.039534,0.003454,0.046433,
DP 518,0.020401,0.023488,0.004128,0.030982,
DP 519,0.041059,0.045925,0.002976,0.047171,
DP 520,0.035614,0.049855,0.002788,0.043614,
DP 521,0.054957,0.04075,0.004562,0.030505,
DP 522,0.047783,0.047191,0.004752,0.043005,
DP 523,0.04379,0.043441,0.004075,0.043299,
DP 524,0.058573,0.034948,0.004916,0.04144,
DP 525,0.026402,0.04372,0.004725,0.03383,
DP 526,0.028064,0.033148,0.003524,0.046655,
DP 527,0.020996,0.04896,0.003177,0.03943,
